system,distribution,batchsize,hit_chance,period,utilization,p99,p99_lower,p99_upper
F1T,picojpeg-emnist.json,30000,1.000010000100001e-5,0.029500000000000002,0.29,13.847247635533712,13.847247635533712,13.847247635533712
F1T,picojpeg-emnist.json,30000,2.000020000200002e-5,0.029500000000000002,0.3,13.847247635533712,13.847247635533712,13.847247635533712
F1T,picojpeg-emnist.json,30000,3.000030000300003e-5,0.029500000000000002,0.31,13.847247635533712,13.847247635533712,13.847247635533712
F1T,picojpeg-emnist.json,30000,6.000060000600006e-5,0.029500000000000002,0.32,13.847247635533712,13.847247635533712,13.847247635533712
F1T,picojpeg-emnist.json,30000,0.00027000270002700027,0.029500000000000002,0.33,242.0268810495322,205.8410150628411,277.1918501217906
F1T,picojpeg-emnist.json,30000,0.0006300063000630006,0.029500000000000002,0.34,388.431407057806,382.5158432114667,395.3144297782195
F1T,picojpeg-emnist.json,30000,0.0012500125001250013,0.029500000000000002,0.35,412.7299853723331,411.2684829938673,414.3070219229327
F1T,picojpeg-emnist.json,30000,0.0024800248002480024,0.029500000000000002,0.36,417.41793847299414,416.801320667415,417.41793847299414
F1T,picojpeg-emnist.json,30000,0.004780047800478005,0.029500000000000002,0.37,2154.9162295713354,1929.8394992941649,2324.8671379097736
F1T,picojpeg-emnist.json,30000,0.008650086500865009,0.029500000000000002,0.38,3388.184385872791,3311.643373306614,3471.782146965074
F1T,picojpeg-emnist.json,30000,0.014080140801408014,0.029500000000000002,0.39,7169.223298885393,6683.742257198656,7719.094865323938
F1T,picojpeg-emnist.json,30000,0.022120221202212024,0.029500000000000002,0.4,13079.55001087306,12584.204958360231,13734.987868261795
F1T,picojpeg-emnist.json,30000,0.03374033740337403,0.029500000000000002,0.41,18381.13058069077,17232.828700975806,19337.66720105529
F1T,picojpeg-emnist.json,30000,0.04770047700477005,0.029500000000000002,0.42,24815.926034630924,24004.50991477945,25712.721781016626
F1T,picojpeg-emnist.json,30000,0.06020060200602006,0.029500000000000002,0.43,28118.35590270555,27172.46869324103,28929.26508287334
F1T,picojpeg-emnist.json,30000,0.07102071020710207,0.029500000000000002,0.44,29103.451470148866,27935.82362249856,29951.315097301613
F1T,picojpeg-emnist.json,30000,0.08137081370813708,0.029500000000000002,0.45,29724.98349339359,28555.173330843463,30996.33732960133
F1T,picojpeg-emnist.json,30000,0.09279092790927909,0.029500000000000002,0.46,29341.234033287965,28291.729159096463,30505.246295576937
F1T,picojpeg-emnist.json,30000,0.1057810578105781,0.029500000000000002,0.47,27787.198753470657,26752.44585992831,29219.261967161274
F1T,picojpeg-emnist.json,30000,0.12121121211212112,0.029500000000000002,0.48,23239.30980304611,22316.07953251499,24235.98374835147
F1T,picojpeg-emnist.json,30000,0.13988139881398814,0.029500000000000002,0.49,20147.35133540426,19083.287670830225,21145.17285537863
F1T,picojpeg-emnist.json,30000,0.16168161681616816,0.029500000000000002,0.5,14218.384567920277,13327.342239910444,15143.902508719646
F1T,picojpeg-emnist.json,30000,0.18793187931879318,0.029500000000000002,0.51,7960.031088398926,7257.392322765294,8490.837367627008
F1T,picojpeg-emnist.json,30000,0.21850218502185023,0.029500000000000002,0.52,3223.5432029027415,2878.7017534463803,3698.6745331118886
F1T,picojpeg-emnist.json,30000,0.2550125501255013,0.029500000000000002,0.53,885.6448311856437,806.7376885653173,978.06961429811
F1T,picojpeg-emnist.json,30000,0.2984429844298443,0.029500000000000002,0.54,165.20990863529724,152.6889775696376,185.2009660493708
F1T,picojpeg-emnist.json,30000,0.34952349523495235,0.029500000000000002,0.55,33.09004582131547,30.80497991843278,37.58822089258983
F1T,picojpeg-emnist.json,30000,0.4053440534405344,0.029500000000000002,0.56,11.353175228359678,10.65275540223719,12.151252151569341
F1T,picojpeg-emnist.json,30000,0.46533465334653346,0.029500000000000002,0.57,5.282471383614321,4.977156928772997,5.6885509668933265
F1T,picojpeg-emnist.json,30000,0.5254952549525496,0.029500000000000002,0.58,3.0394498641748116,2.858399914714473,3.3594060645976045
F1T,picojpeg-emnist.json,30000,0.5866158661586616,0.029500000000000002,0.59,2.2472627704361128,2.013803752198102,2.2716262916739582
F1T,picojpeg-emnist.json,30000,0.6440764407644076,0.029500000000000002,0.6,1.742805727474325,1.6989513842637272,1.742805727474325
F1T,picojpeg-emnist.json,30000,0.6978969789697897,0.029500000000000002,0.61,1.4579055391972406,1.4579055391972406,1.4859607273742106
F1T,picojpeg-emnist.json,30000,0.7482374823748238,0.029500000000000002,0.62,1.2153129394259334,1.2153129394259334,1.2153129394259334
F1T,picojpeg-emnist.json,30000,0.7941879418794188,0.029500000000000002,0.63,1.0014869592333724,0.9315094188250241,1.1733602480372096
F1T,picojpeg-emnist.json,30000,0.8342283422834228,0.029500000000000002,0.64,0.9315094188250241,0.9315094188250241,0.9315094188250241
F1T,picojpeg-emnist.json,30000,0.8685586855868559,0.029500000000000002,0.65,0.9315094188250241,0.9315094188250241,0.9315094188250241
F1T,picojpeg-emnist.json,30000,0.8976589765897659,0.029500000000000002,0.66,0.8923553812411991,0.6571487457634928,0.9315094188250241
F1T,picojpeg-emnist.json,30000,0.9217692176921769,0.029500000000000002,0.67,0.6571487457634928,0.6571487457634928,0.6571487457634928
F1T,picojpeg-emnist.json,30000,0.9413194131941319,0.029500000000000002,0.68,0.6571487457634928,0.6571487457634928,0.6571487457634928
F1T,picojpeg-emnist.json,30000,0.95639956399564,0.029500000000000002,0.69,0.6571487457634928,0.6571487457634928,0.6571487457634928
F1T,picojpeg-emnist.json,30000,0.968509685096851,0.029500000000000002,0.7,0.6571487457634928,0.6571487457634928,0.6571487457634928
F1T,picojpeg-emnist.json,30000,0.977619776197762,0.029500000000000002,0.71,0.6571487457634928,0.6571487457634928,0.6571487457634928
F1T,picojpeg-emnist.json,30000,0.984669846698467,0.029500000000000002,0.72,0.6571487457634928,0.6571487457634928,0.6571487457634928
F1T,picojpeg-emnist.json,30000,0.9894498944989449,0.029500000000000002,0.73,0.6571487457634928,0.3843420120459366,0.6571487457634928
F1T,picojpeg-emnist.json,30000,0.99269992699927,0.029500000000000002,0.74,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.9949999499995,0.029500000000000002,0.75,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.996729967299673,0.029500000000000002,0.76,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.9979999799998,0.029500000000000002,0.77,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.998749987499875,0.029500000000000002,0.78,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999259992599926,0.029500000000000002,0.79,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999519995199952,0.029500000000000002,0.8,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999739997399974,0.029500000000000002,0.81,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999839998399984,0.029500000000000002,0.82,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999929999299993,0.029500000000000002,0.83,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999949999499995,0.029500000000000002,0.84,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999969999699997,0.029500000000000002,0.85,0.3843420120459366,0.3843420120459366,0.3843420120459366
F1T,picojpeg-emnist.json,30000,0.999989999899999,0.029500000000000002,0.86,0.3843420120459366,0.3843420120459366,0.3843420120459366
