system,distribution,batchsize,hit_chance,period,utilization,p99,p99_lower,p99_upper
F1T,picojpeg-emnist.json,30000,2.000020000200002e-5,0.0485,0.18,13.925247824635514,13.925247824635514,13.925247824635514
F1T,picojpeg-emnist.json,30000,5.000050000500005e-5,0.0485,0.19,13.925247824635514,13.925247824635514,13.925247824635514
F1T,picojpeg-emnist.json,30000,0.00022000220002200022,0.0485,0.2,13.925247824635514,13.925247824635514,13.925247824635514
F1T,picojpeg-emnist.json,30000,0.001010010100101001,0.0485,0.21,327.65055729811485,326.9635754240914,338.19148853507704
F1T,picojpeg-emnist.json,30000,0.002920029200292003,0.0485,0.22,356.7013636816512,355.11341044420055,356.7013636816512
F1T,picojpeg-emnist.json,30000,0.007750077500775008,0.0485,0.23,1460.0599402556645,1331.8695358423397,1564.6782084068473
F1T,picojpeg-emnist.json,30000,0.01743017430174302,0.0485,0.24,2622.4917447974567,2596.633310060933,2671.539365688085
F1T,picojpeg-emnist.json,30000,0.035040350403504034,0.0485,0.25,7191.300749440779,6887.707433053019,7494.381271504397
F1T,picojpeg-emnist.json,30000,0.057050570505705056,0.0485,0.26,9332.684002081047,9029.392091829619,9521.988678311454
F1T,picojpeg-emnist.json,30000,0.07505075050750508,0.0485,0.27,11069.535243019694,10565.766317884536,11540.843518567903
F1T,picojpeg-emnist.json,30000,0.0931809318093181,0.0485,0.28,11821.494093349462,11362.72562694213,12511.743354205135
F1T,picojpeg-emnist.json,30000,0.11592115921159211,0.0485,0.29,12744.65316609613,12121.091281548124,13277.441576461042
F1T,picojpeg-emnist.json,30000,0.14636146361463614,0.0485,0.3,12099.904574453154,11554.31172737069,12556.015328445941
F1T,picojpeg-emnist.json,30000,0.1869018690186902,0.0485,0.31,9930.874256073397,9453.920417794658,10372.78365042663
F1T,picojpeg-emnist.json,30000,0.23967239672396723,0.0485,0.32,6174.035163851298,5895.211718894089,6511.961791271128
F1T,picojpeg-emnist.json,30000,0.3112931129311293,0.0485,0.33,1907.2992479717825,1783.7880337861397,2160.469376387289
F1T,picojpeg-emnist.json,30000,0.3992639926399264,0.0485,0.34,243.28481712555052,217.57899613944147,270.17245285328386
F1T,picojpeg-emnist.json,30000,0.4978749787497875,0.0485,0.35,22.02377945077161,20.217427238838322,23.60574801235787
F1T,picojpeg-emnist.json,30000,0.5971459714597146,0.0485,0.36,6.660601064478625,6.2401903370967435,7.272682767022067
F1T,picojpeg-emnist.json,30000,0.6890668906689067,0.0485,0.37,3.104815777429357,3.104815777429357,3.104815777429357
F1T,picojpeg-emnist.json,30000,0.7708377083770838,0.0485,0.38,1.929543327277245,1.929543327277245,1.929543327277245
F1T,picojpeg-emnist.json,30000,0.8382583825838258,0.0485,0.39,1.4934162696371083,1.4934162696371083,1.4934162696371083
F1T,picojpeg-emnist.json,30000,0.8912389123891239,0.0485,0.4,1.4934162696371083,1.4934162696371083,1.4934162696371083
F1T,picojpeg-emnist.json,30000,0.9302593025930259,0.0485,0.41,1.0206511575580126,1.0206511575580126,1.0206511575580126
F1T,picojpeg-emnist.json,30000,0.95689956899569,0.0485,0.42,1.0206511575580126,1.0206511575580126,1.0206511575580126
