system,distribution,batchsize,hit_chance,period,utilization,p99,p99_lower,p99_upper
F1T,picojpeg-emnist.json,30000,1.000010000100001e-5,0.0095,0.89,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,1.000010000100001e-5,0.0095,0.9,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,2.000020000200002e-5,0.0095,0.91,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,2.000020000200002e-5,0.0095,0.92,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,2.000020000200002e-5,0.0095,0.93,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,2.000020000200002e-5,0.0095,0.94,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,2.000020000200002e-5,0.0095,0.95,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,3.000030000300003e-5,0.0095,0.96,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,5.000050000500005e-5,0.0095,0.97,13.967497920696974,13.967497920696974,52.851149717778796
F1T,picojpeg-emnist.json,30000,5.000050000500005e-5,0.0095,0.98,13.967497920696974,13.967497920696974,18.262546658686368
F1T,picojpeg-emnist.json,30000,5.000050000500005e-5,0.0095,0.99,13.967497920696974,13.967497920696974,13.967497920696974
F1T,picojpeg-emnist.json,30000,8.000080000800008e-5,0.0095,1.0,258.91731957444426,206.71124119867181,329.23138517204865
