system,distribution,batchsize,hit_chance,period,utilization,p99,p99_lower,p99_upper
F1T,synthetic,30000,0.017733729634950457,0.046,0.22,2852.556292105443,2762.819766049692,3342.184693362941
F1T,synthetic,30000,0.0810931299828267,0.046,0.23,12436.366050985293,11872.728653562945,12902.39069046808
F1T,synthetic,30000,0.13792234190796981,0.046,0.24,12998.75512733171,12517.345606770114,13467.963651346046
F1T,synthetic,30000,0.18912625370407488,0.046,0.25,9651.650019797486,9197.403341696932,10206.273499900402
F1T,synthetic,30000,0.23545468649722512,0.046,0.26,6180.121507504933,5846.725642127154,6617.211938835798
F1T,synthetic,30000,0.2775336794710608,0.046,0.27,3157.072911773943,2961.0270769682193,3430.3673516867375
F1T,synthetic,30000,0.31588957992018507,0.046,0.28,1422.5927865295175,1315.7229622141585,1519.4794353413088
F1T,synthetic,30000,0.35096778216674673,0.046,0.29,654.0834139974696,571.1948199258461,708.0554831583266
F1T,synthetic,30000,0.3831474414791677,0.046,0.3,246.0942632620159,216.4932916665755,273.59421545182306
F1T,synthetic,30000,0.4127531285924917,0.046,0.31,106.49612275199367,97.47595438117128,118.88048215600881
F1T,synthetic,30000,0.4400641360429798,0.046,0.32,58.89170466240592,52.66816205829298,65.20602352411166
F1T,synthetic,30000,0.4653219657908718,0.046,0.33,28.520414267561886,26.711065671469033,30.97877631072897
F1T,synthetic,30000,0.48873639625383525,0.046,0.34,22.007455386025693,20.28480239819903,23.39578158909725
F1T,synthetic,30000,0.5104904309073908,0.046,0.35,14.867815796299723,14.368657920641693,16.16535033404455
F1T,synthetic,30000,0.5307443597824506,0.046,0.36,11.70536116170854,10.964707219961541,12.880205373703319
F1T,synthetic,30000,0.549639112420435,0.046,0.37,8.95147176277836,8.295912835876011,8.988638672060898
F1T,synthetic,30000,0.5672990411784528,0.046,0.38,7.247881967175621,6.977185620336722,7.966499073401201
F1T,synthetic,30000,0.5838342437071119,0.046,0.39,6.538237404215263,5.836172721568874,6.538237404215263
F1T,synthetic,30000,0.5993425104486492,0.046,0.4,5.216604262694259,4.916246673373917,5.712520329875318
F1T,synthetic,30000,0.6139109653178605,0.046,0.41,4.55036839832785,4.468857792568869,4.916246673373917
F1T,synthetic,30000,0.6276174540185337,0.046,0.42,4.468857792568869,4.349007725405361,4.468857792568869
F1T,synthetic,30000,0.6405317237489193,0.046,0.43,3.508175341051515,3.2496806076348537,3.7895091521328736
F1T,synthetic,30000,0.6527164296470274,0.046,0.44,3.038156993492604,2.992025830286026,3.2632243874203035
F1T,synthetic,30000,0.6642279966874802,0.046,0.45,2.9630963648794886,2.9373476803845966,2.992025830286026
F1T,synthetic,30000,0.6751173604659757,0.046,0.46,2.9373476803845966,2.747499270037484,2.992025830286026
F1T,synthetic,30000,0.6854306060922313,0.046,0.47,2.747499270037484,2.747499270037484,2.747499270037484
F1T,synthetic,30000,0.6952095210268537,0.046,0.48,2.747499270037484,2.5951323813357443,2.747499270037484
F1T,synthetic,30000,0.7044920749650418,0.046,0.49,2.747499270037484,2.5951323813357443,2.747499270037484
F1T,synthetic,30000,0.7133128376540057,0.046,0.5,2.5951323813357443,2.5951323813357443,2.747499270037484
F1T,synthetic,30000,0.7217033437256459,0.046,0.51,2.2313989353837496,2.2313989353837496,2.2313989353837496
F1T,synthetic,30000,0.7296924121488965,0.046,0.52,2.2313989353837496,2.2313989353837496,2.2313989353837496
F1T,synthetic,30000,0.737306426692466,0.046,0.53,2.2313989353837496,2.070003467420756,2.2313989353837496
F1T,synthetic,30000,0.7445695827875467,0.046,0.54,2.070003467420756,1.8403146772516972,2.2313989353837496
F1T,synthetic,30000,0.7515041053510153,0.046,0.55,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.7581304414405926,0.046,0.56,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.7644674310387052,0.046,0.57,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.770532458780781,0.046,0.58,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.7763415890398149,0.046,0.59,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.781909686438824,0.046,0.6,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.7872505235753506,0.046,0.61,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.7923768774985832,0.046,0.62,1.8403146772516972,1.8403146772516972,1.8403146772516972
F1T,synthetic,30000,0.7973006162726474,0.046,0.63,1.5341883286031806,1.4696729031284188,1.8403146772516972
F1T,synthetic,30000,0.8020327767832214,0.046,0.64,1.5341883286031806,1.4696729031284188,1.8403146772516972
F1T,synthetic,30000,0.8065836347938996,0.046,0.65,1.5341883286031806,1.4696729031284188,1.8403146772516972
F1T,synthetic,30000,0.8109627681296163,0.046,0.66,1.4696729031284188,1.4696729031284188,1.5341883286031806
F1T,synthetic,30000,0.8151791137535657,0.046,0.67,1.4696729031284188,1.4696729031284188,1.4696729031284188
F1T,synthetic,30000,0.8192410194086075,0.046,0.68,1.4696729031284188,1.4273715231733288,1.4696729031284188
F1T,synthetic,30000,0.8231562904117962,0.046,0.69,1.4696729031284188,1.4168767866518095,1.4696729031284188
