t,u,y,r
22336,476.1484375,794.7269287109375,806.8462524414062
22334,486.69287109375,795.4842529296875,806.8462524414062
22357,496.88427734375,796.2236328125,806.8462524414062
22353,506.7451171875,796.9327392578125,806.8462524414062
22369,516.283203125,797.6043701171875,806.8462524414062
22356,525.53076171875,798.2353515625,806.8462524414062
22362,534.486328125,798.8220825195312,806.8462524414062
22345,543.15185546875,799.3681640625,806.8462524414062
22344,551.55859375,799.8739624023438,806.8462524414062
22372,559.7021484375,800.3380737304688,806.8462524414062
22346,567.59228515625,800.7659301757812,806.8462524414062
22346,575.2265625,801.1593017578125,806.8462524414062
22345,582.630859375,801.5203247070312,806.8462524414062
34531,482.630859375,801.848388671875,587.878173828125
80317,420.97100830078125,802.1482543945312,587.878173828125
41116,439.45379638671875,770.7427978515625,587.878173828125
41123,456.88067626953125,720.146240234375,587.878173828125
41110,472.74395751953125,675.05810546875,587.878173828125
41122,486.762451171875,635.4620971679688,587.878173828125
43818,561.948974609375,601.129150390625,587.878173828125
22282,604.9931640625,571.6942749023438,587.878173828125
22317,610.804443359375,565.3742065429688,587.878173828125
22294,605.1295166015625,572.1124267578125,587.878173828125
22260,597.9249267578125,580.494873046875,587.878173828125
21535,592.2756958007812,587.0056762695312,587.878173828125
22248,588.602294921875,591.1834106445312,587.878173828125
22343,586.501708984375,593.513427734375,587.878173828125
22311,585.44775390625,594.6099243164062,587.878173828125
21591,585.030517578125,594.96337890625,587.878173828125
21602,584.9490356445312,594.9027099609375,587.878173828125
21618,585.057861328125,594.6304931640625,587.878173828125
21624,585.241455078125,594.2569580078125,587.878173828125
21623,585.4495239257812,593.8470458984375,587.878173828125
65868,485.44952392578125,593.4300537109375,238.32794189453125
121742,385.44952392578125,593.0194702148438,238.32794189453125
80278,316.09320068359375,563.0004272460938,238.32794189453125
40965,335.5225830078125,504.41845703125,238.32794189453125
41072,353.1318054199219,427.5932922363281,238.32794189453125
41101,368.2735595703125,359.9039001464844,238.32794189453125
43869,389.4317626953125,301.1250915527344,238.32794189453125
34537,489.4317626953125,250.7493896484375,238.32794189453125
57665,564.5386352539062,210.7012176513672,238.32794189453125
43874,542.7066040039062,204.2775421142578,238.32794189453125
22384,516.8091430664062,223.1941375732422,238.32794189453125
22350,495.66754150390625,237.86610412597656,238.32794189453125
22330,479.52838134765625,246.9849090576172,238.32794189453125
22295,467.22100830078125,251.9401397705078,238.32794189453125
22301,457.46783447265625,254.19984436035156,238.32794189453125
22293,449.33380126953125,254.875244140625,238.32794189453125
22290,442.16778564453125,254.68765258789062,238.32794189453125
22286,435.58648681640625,254.0731658935547,238.32794189453125
22301,429.40850830078125,253.26988220214844,238.32794189453125
22296,423.48150634765625,252.39990234375,238.32794189453125
34661,499.8693542480469,251.5309600830078,267.6274108886719
43918,449.0841979980469,250.68568420410156,267.6274108886719
22241,414.7248229980469,274.14483642578125,267.6274108886719
22308,401.5173034667969,283.4153137207031,267.6274108886719
22303,396.3904724121094,283.59625244140625,267.6274108886719
22314,393.7428894042969,281.1343078613281,267.6274108886719
22302,391.4612731933594,278.4677429199219,267.6274108886719
22302,388.8816833496094,276.3175048828125,267.6274108886719
22298,385.9366149902344,274.7568054199219,267.6274108886719
22303,382.7454528808594,273.6562805175781,267.6274108886719
22304,379.4167175292969,272.8667297363281,267.6274108886719
22298,376.0528259277344,272.27642822265625,267.6274108886719
22302,372.7153015136719,271.8078918457031,267.6274108886719
22300,369.4224548339844,271.4158630371094,267.6274108886719
22299,366.2177429199219,271.0748596191406,267.6274108886719
22349,363.1039733886719,270.76611328125,267.6274108886719
22313,360.0706481933594,270.48480224609375,267.6274108886719
22290,357.1313171386719,270.2278747558594,267.6274108886719
22297,354.2870788574219,269.989990234375,267.6274108886719
22296,351.5175476074219,269.77069091796875,267.6274108886719
34510,251.51754760742188,269.5706481933594,92.74529266357422
74558,151.51754760742188,269.38519287109375,92.74529266357422
68966,160.78143310546875,240.44805908203125,92.74529266357422
41085,172.04232788085938,183.74447631835938,92.74529266357422
43811,248.63900756835938,132.76882934570312,92.74529266357422
22315,314.7837829589844,88.3620376586914,92.74529266357422
22325,324.1241149902344,69.99400329589844,92.74529266357422
22324,314.1084899902344,73.97982788085938,92.74529266357422
22355,299.9849548339844,82.8297119140625,92.74529266357422
22335,286.9976501464844,90.54373931884766,92.74529266357422
22331,276.2937927246094,95.80184936523438,92.74529266357422
22329,267.6377868652344,98.89498138427734,92.74529266357422
22325,260.4873962402344,100.46820831298828,92.74529266357422
22341,254.32601928710938,101.09632110595703,92.74529266357422
22344,248.80526733398438,101.18936920166016,92.74529266357422
22348,243.70443725585938,101.00059509277344,92.74529266357422
22322,238.88388061523438,100.67786407470703,92.74529266357422
22326,234.26986694335938,100.30268859863281,92.74529266357422
22323,229.82577514648438,99.9151382446289,92.74529266357422
22323,225.53500366210938,99.53399658203125,92.74529266357422
34550,125.53500366210938,99.16807556152344,-183.57017517089844
42799,25.53498077392578,98.8222427368164,-183.57017517089844
80332,-34.517024993896484,70.16641998291016,-183.57017517089844
41103,-19.85842514038086,14.157354354858398,-183.57017517089844
41126,-6.859706878662109,-56.230411529541016,-183.57017517089844
