0.01,0.064134,1988.4213256835938,1988.4213256835938,1988.4213256835938
0.02,0.06422,1990.0167846679688,1990.0167846679688,1990.0167846679688
0.03,0.064282,1989.7791137695312,1989.7791137695312,1989.7791137695312
0.04,0.064362,1988.7896728515625,1988.7896728515625,1988.7896728515625
0.05,0.065448,1979.711181640625,1979.711181640625,1979.711181640625
0.06,0.065506,1978.3363647460938,1978.3363647460938,1978.3363647460938
0.07,0.065538,1978.0623168945312,1978.0623168945312,1978.0623168945312
0.08,0.065562,1976.9502563476562,1976.9502563476562,1976.9502563476562
0.09,0.065582,1977.4375610351562,1977.4375610351562,1977.4375610351562
0.1,0.065598,1978.9044799804688,1978.9044799804688,1978.9044799804688
0.11,0.06561,1978.0578002929688,1978.0578002929688,1978.0578002929688
0.12,0.065626,1972.1265869140625,1972.1265869140625,1972.1265869140625
0.13,0.06564,1971.6599731445312,1971.6599731445312,1971.6599731445312
0.14,0.065654,1970.8689575195312,1970.8689575195312,1970.8689575195312
0.15,0.06567,1971.5400390625,1971.5400390625,1971.5400390625
0.16,0.065686,1971.0352783203125,1971.0352783203125,1971.0352783203125
0.17,0.0657,1970.2386474609375,1970.2386474609375,1970.2386474609375
0.18,0.065716,1970.859375,1970.859375,1970.859375
0.19,0.065736,1969.9307861328125,1969.9307861328125,1969.9307861328125
0.2,0.065756,1970.4829711914062,1970.4829711914062,1970.4829711914062
0.21,0.065782,1969.2884521484375,1969.2884521484375,1969.2884521484375
0.22,0.065838,1969.6060791015625,1969.6060791015625,1969.6060791015625
0.23,0.090494,1778.3788452148438,1778.3788452148438,1778.3788452148438
0.24,0.090788,1778.5484008789062,1778.5484008789062,1778.5484008789062
0.25,0.101664,1693.812255859375,1693.812255859375,1693.812255859375
0.26,0.101736,1685.1559448242188,1685.1559448242188,1685.1559448242188
0.27,0.10177,1684.8384399414062,1684.8384399414062,1684.8384399414062
0.28,0.101794,1684.6150512695312,1684.6150512695312,1684.6150512695312
0.29,0.10181,1684.4661254882812,1684.4661254882812,1684.4661254882812
0.3,0.101824,1684.3360595703125,1684.3360595703125,1684.3360595703125
0.31,0.101836,1684.2274169921875,1684.2274169921875,1684.2274169921875
0.32,0.101846,1684.1328125,1684.1328125,1684.1328125
0.33,0.101854,1684.0574951171875,1684.0574951171875,1684.0574951171875
0.34,0.101864,1683.9640502929688,1683.9640502929688,1683.9640502929688
0.35,0.101872,1683.8897094726562,1683.8897094726562,1683.8897094726562
0.36,0.10188,1683.8158569335938,1683.8158569335938,1683.8158569335938
0.37,0.101888,1683.7412719726562,1683.7412719726562,1683.7412719726562
0.38,0.101894,1683.6853637695312,1683.6853637695312,1683.6853637695312
0.39,0.101902,1683.2692260742188,1683.2692260742188,1683.2692260742188
0.4,0.101908,1683.2151489257812,1683.2151489257812,1683.2151489257812
0.41,0.101916,1683.142578125,1683.142578125,1683.142578125
0.42,0.101922,1683.0883178710938,1683.0883178710938,1683.0883178710938
0.43,0.10193,1683.01611328125,1683.01611328125,1683.01611328125
0.44,0.101938,1682.9463500976562,1682.9463500976562,1682.9463500976562
0.45,0.101946,1682.873291015625,1682.873291015625,1682.873291015625
0.46,0.101954,1682.8007202148438,1682.8007202148438,1682.8007202148438
0.47,0.101962,1682.7269897460938,1682.7269897460938,1682.7269897460938
0.48,0.101968,1682.6716918945312,1682.6716918945312,1682.6716918945312
0.49,0.101978,1682.580810546875,1682.580810546875,1682.580810546875
0.5,0.101986,1682.5086669921875,1682.5086669921875,1682.5086669921875
0.51,0.101994,1682.4364624023438,1682.4364624023438,1682.4364624023438
0.52,0.102004,1682.3460083007812,1682.3460083007812,1682.3460083007812
0.53,0.102016,1682.2377319335938,1682.2377319335938,1682.2377319335938
0.54,0.102028,1682.35693359375,1682.35693359375,1682.35693359375
0.55,0.102046,1689.7341918945312,1689.7341918945312,1689.7341918945312
0.56,0.10207,1689.5244750976562,1689.5244750976562,1689.5244750976562
0.57,0.102122,1689.0734252929688,1689.0734252929688,1689.0734252929688
0.58,0.105384,1659.2897338867188,1659.2897338867188,1659.2897338867188
0.59,0.105522,1658.0868530273438,1658.0868530273438,1658.0868530273438
0.6,0.107364,1649.816650390625,1649.816650390625,1649.816650390625
0.61,0.107474,1649.7225952148438,1649.7225952148438,1649.7225952148438
0.62,0.107556,1650.08935546875,1650.08935546875,1650.08935546875
0.63,0.107666,1649.6483154296875,1649.6483154296875,1649.6483154296875
0.64,0.115656,1626.4811401367188,1626.4811401367188,1626.4811401367188
0.65,0.115758,1625.7484741210938,1625.7484741210938,1625.7484741210938
0.66,0.115794,1626.2255859375,1626.2255859375,1626.2255859375
0.67,0.115822,1626.0789184570312,1626.0789184570312,1626.0789184570312
0.68,0.115844,1625.5848388671875,1625.5848388671875,1625.5848388671875
0.69,0.115864,1625.508056640625,1625.508056640625,1625.508056640625
0.7,0.115882,1625.5148315429688,1625.5148315429688,1625.5148315429688
0.71,0.115898,1625.4923706054688,1625.4923706054688,1625.4923706054688
0.72,0.115914,1625.6412963867188,1625.6412963867188,1625.6412963867188
0.73,0.11593,1626.0503540039062,1626.0503540039062,1626.0503540039062
0.74,0.115948,1625.9933471679688,1625.9933471679688,1625.9933471679688
0.75,0.115966,1625.8176879882812,1625.8176879882812,1625.8176879882812
0.76,0.115984,1625.4359741210938,1625.4359741210938,1625.4359741210938
0.77,0.116006,1625.0772094726562,1625.0772094726562,1625.0772094726562
0.78,0.116036,1625.2586669921875,1625.2586669921875,1625.2586669921875
0.79,0.116082,1625.7211303710938,1625.7211303710938,1625.7211303710938
