z
1.0
1.0794245899456554
1.084101601192943
1.0435840152862819
0.9774741943557893
0.89859744231383
0.8151863660644828
0.7323791762381302
0.6532455225252093
0.5794868468557944
0.5119127650883487
0.4507635506637733
0.3959270639608212
0.3470834549511719
0.30380059317334457
0.26559601546204004
0.23197623740954462
0.20246086387788262
0.1765965830750641
0.15396451002062206
0.13418323205678803
0.11690914476803643
0.10183514299069138
0.08868837372174118
0.077227514003753
0.06723987159833215
0.058538494848539985
0.0509594035972496
0.04435900367931339
0.038611715292701215
0.03360782494670159
0.029251557889832126
0.025459360339593333
0.0221583766986806
0.01928510504320358
0.01678421369311022
0.014607502075899123
0.012712990007161432
0.011064120695502163
0.009629064079579093
0.00838010842316671
0.00729312937046099
0.006347126863926892
0.005523821433213866
0.004807302369153561
0.004183721201499355
0.0036410247068326277
0.003168722390205977
0.002757684018009804
0.002399963338012928
0.0020886446132388197
0.0018177090266403096
0.0015819183902636262
0.0013767139220049584
0.0011981281408186468
0.0010427081824080054
0.0009074490565342267
0.0007897355581171079
0.0006872917108044638
0.0005981367667619429
0.0005205469128085972
0.0004530219430857099
0.0003942562542876925
0.00034311360293177756
0.0002986051367933172
0.0002598702758781571
0.00022616007335707596
0.00019682273480824052
0.00017129101582449673
0.00014907125434675955
0.00012973382568277737
0.0001129048356717433
9.825889139038493e-5
8.551280962746997e-5
7.442014148341126e-5
6.476640723009685e-5
5.6364949298067866e-5
4.9053323209081155e-5
4.2690156672899324e-5
3.7152416118877656e-5
3.233302781053424e-5
2.813880754707829e-5
2.4488658922367936e-5
2.1312005304318266e-5
1.8547425216774535e-5
1.6141464738667763e-5
1.4047603957922417e-5
1.2225357496257653e-5
1.0639491713308762e-5
9.259343454513421e-6
8.058227170578116e-6
7.012918945024661e-6
6.103207453352989e-6
5.311503171495562e-6
4.622498277503666e-6
4.022870670572433e-6
3.501026384531973e-6
3.0468754152988386e-6
2.651636627850274e-6
2.3076679705438727e-6
2.0083187212122503e-6
