system,distribution,batchsize,hit_chance,period,utilization,p99,p99_lower,p99_upper
F1T,slre,300000,1.0e-5,0.02630272321385383,0.63,13.993543245422204,13.993543245422204,13.993543245422204
F1T,slre,300000,0.00047,0.02630272321385383,0.64,400.15375596458296,394.9199373402592,403.83339533738774
F1T,slre,300000,0.00591,0.02630272321385383,0.65,3385.6459325482583,3341.311033946507,3419.6134888257902
F1T,slre,300000,0.03108,0.02630272321385383,0.66,24899.067945410592,24444.25343094882,25395.044491167853
F1T,slre,300000,0.07372,0.02630272321385383,0.67,38913.86010261935,38473.54556667005,39487.58428312748
F1T,slre,300000,0.12755,0.02630272321385383,0.68,25256.48558441325,24823.119963346635,25754.89886597526
F1T,slre,300000,0.19152,0.02630272321385383,0.69,5212.751850889017,5067.632576380706,5387.41045754016
F1T,slre,300000,0.26014,0.02630272321385383,0.7,331.7854659556692,319.46721655858266,345.3224126445913
F1T,slre,300000,0.32725,0.02630272321385383,0.71,30.539045456825612,29.715252383426193,31.55973594471239
F1T,slre,300000,0.39373,0.02630272321385383,0.72,8.329901636728401,8.131199736181697,8.522376906375747
F1T,slre,300000,0.45628,0.02630272321385383,0.73,4.054259137752443,3.9547130328881663,4.120404160148318
F1T,slre,300000,0.51374,0.02630272321385383,0.74,2.5821377877427656,2.493384484836835,2.7016531260792167
F1T,slre,300000,0.5654,0.02630272321385383,0.75,1.962369567735372,1.9444875679566263,1.962369567735372
F1T,slre,300000,0.61181,0.02630272321385383,0.76,1.5812975663979778,1.5812975663979778,1.5812975663979778
F1T,slre,300000,0.65522,0.02630272321385383,0.77,1.3392884254051634,1.3392884254051634,1.3392884254051634
F1T,slre,300000,0.69292,0.02630272321385383,0.78,1.3068559665337072,1.3068559665337072,1.3072544638339665
F1T,slre,300000,0.72616,0.02630272321385383,0.79,1.086484563853836,1.086484563853836,1.086484563853836
F1T,slre,300000,0.75681,0.02630272321385383,0.8,1.086484563853836,1.086484563853836,1.086484563853836
F1T,slre,300000,0.78328,0.02630272321385383,0.81,1.0563034126064135,1.0563034126064135,1.0563034126064135
F1T,slre,300000,0.80748,0.02630272321385383,0.82,0.8414032924228025,0.8414032924228025,0.8414032924228025
F1T,slre,300000,0.82859,0.02630272321385383,0.83,0.8414032924228025,0.8414032924228025,0.8414032924228025
F1T,slre,300000,0.84731,0.02630272321385383,0.84,0.8414032924228025,0.8414032924228025,0.8414032924228025
F1T,slre,300000,0.86397,0.02630272321385383,0.85,0.8414032924228025,0.8414032924228025,0.8414032924228025
F1T,slre,300000,0.87876,0.02630272321385383,0.86,0.8414032924228025,0.8414032924228025,0.8414032924228025
F1T,slre,300000,0.89206,0.02630272321385383,0.87,0.8247152897664071,0.8247152897664071,0.8247152897664071
F1T,slre,300000,0.90443,0.02630272321385383,0.88,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.91465,0.02630272321385383,0.89,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.92443,0.02630272321385383,0.9,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.93276,0.02630272321385383,0.91,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.94044,0.02630272321385383,0.92,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.94741,0.02630272321385383,0.93,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.95345,0.02630272321385383,0.94,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.95869,0.02630272321385383,0.95,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.96333,0.02630272321385383,0.96,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.96779,0.02630272321385383,0.97,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.9715,0.02630272321385383,0.98,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.9748,0.02630272321385383,0.99,0.5936139003923196,0.5936139003923196,0.5936139003923196
F1T,slre,300000,0.97768,0.02630272321385383,1.0,0.5936139003923196,0.5936139003923196,0.5936139003923196
