system,distribution,batchsize,hit_chance,period,utilization,p99,p99_lower,p99_upper
F1T,slre,300000,4.0e-5,0.024125463853126382,0.69,13.858869898439298,13.858869898439298,13.858869898439298
F1T,slre,300000,0.00088,0.024125463853126382,0.7,431.30013341339185,431.30013341339185,431.7116043518399
F1T,slre,300000,0.0081,0.024125463853126382,0.71,4046.871540817109,4024.095177451143,4060.678829658485
F1T,slre,300000,0.03132,0.024125463853126382,0.72,27727.216604569694,27258.761221329692,28157.869106468424
F1T,slre,300000,0.07192,0.024125463853126382,0.73,38961.34002904789,38497.77780916636,39427.809618888605
F1T,slre,300000,0.12048,0.024125463853126382,0.74,24951.15545331349,24576.41212434137,25396.881727524757
F1T,slre,300000,0.17731,0.024125463853126382,0.75,5748.527603008864,5553.019444185806,5917.07657470457
F1T,slre,300000,0.24094,0.024125463853126382,0.76,374.4551877679843,362.71931860076216,388.36010447588353
F1T,slre,300000,0.30187,0.024125463853126382,0.77,34.969923959554585,34.00683410436859,36.08828069754378
F1T,slre,300000,0.36383,0.024125463853126382,0.78,9.120220815945869,8.891246514454552,9.292725952251478
F1T,slre,300000,0.42367,0.024125463853126382,0.79,4.3272691179201175,4.214694004025922,4.412482414535698
F1T,slre,300000,0.47856,0.024125463853126382,0.8,2.678786614038252,2.5851057103503163,2.70545443895966
F1T,slre,300000,0.5294,0.024125463853126382,0.81,2.0543348533767554,1.8930187032781387,2.094348289416751
F1T,slre,300000,0.57614,0.024125463853126382,0.82,1.6539062310583597,1.637084976808414,1.6539062310583597
F1T,slre,300000,0.61746,0.024125463853126382,0.83,1.4345036585034348,1.4345036585034348,1.4607257678945085
F1T,slre,300000,0.6569,0.024125463853126382,0.84,1.2306939270432657,1.2306939270432657,1.2306939270432657
F1T,slre,300000,0.69178,0.024125463853126382,0.85,1.0967989330165462,1.0528735020617355,1.205825450904865
F1T,slre,300000,0.7224,0.024125463853126382,0.86,1.0056901152654556,1.0056901152654556,1.0056901152654556
F1T,slre,300000,0.75063,0.024125463853126382,0.87,1.0056901152654556,1.0056901152654556,1.0056901152654556
F1T,slre,300000,0.77605,0.024125463853126382,0.88,0.992229788339685,0.968714945453957,0.992229788339685
F1T,slre,300000,0.79902,0.024125463853126382,0.89,0.7785961020956979,0.7785961020956979,0.7785961020956979
F1T,slre,300000,0.81905,0.024125463853126382,0.9,0.7785961020956979,0.7785961020956979,0.7785961020956979
F1T,slre,300000,0.83741,0.024125463853126382,0.91,0.7785961020956979,0.7785961020956979,0.7785961020956979
F1T,slre,300000,0.85403,0.024125463853126382,0.92,0.7785961020956979,0.7785961020956979,0.7785961020956979
F1T,slre,300000,0.86859,0.024125463853126382,0.93,0.7785961020956979,0.7785961020956979,0.7785961020956979
F1T,slre,300000,0.88187,0.024125463853126382,0.94,0.7785961020956979,0.7785961020956979,0.7785961020956979
F1T,slre,300000,0.89346,0.024125463853126382,0.95,0.7630364261198029,0.7255880829861511,0.7630364261198029
F1T,slre,300000,0.90487,0.024125463853126382,0.96,0.552294881395214,0.552294881395214,0.552294881395214
F1T,slre,300000,0.91444,0.024125463853126382,0.97,0.552294881395214,0.552294881395214,0.552294881395214
F1T,slre,300000,0.92347,0.024125463853126382,0.98,0.552294881395214,0.552294881395214,0.552294881395214
F1T,slre,300000,0.93123,0.024125463853126382,0.99,0.552294881395214,0.552294881395214,0.552294881395214
F1T,slre,300000,0.93852,0.024125463853126382,1.0,0.552294881395214,0.552294881395214,0.552294881395214
